id,mean
Alice,Pereira,3,3,7,0,3,7
Ana,Almeida,6,7,7,1,5,3
Bruno,Santos,7,10,9,3,2,0
Carlos,Souza,5,3,4,1,4,3
Eduardo,Rodrigues,6,9,6,1,1,1
Enzo,Silva,6,8,9,4,0,0
Fernanda,Oliveira,6,4,8,0,1,1
Helena,Lima,9,7,3,1,4,2
Igor,Carvalho,4,8,6,3,3,4
Valentina,Almeida,6,9,10,1,5,1
Beatriz,Moreira,7,9,8,1,1,1
Gabriel,Ferreira,6,7,5,2,4,3
Henrique,Lima,8,6,8,1,0,1
João,Mendes,4,6,5,2,3,2
Júlia,Martins,7,8,7,0,1,0
Laura,Gomes,8,6,7,2,1,0
Mariana,Rocha,5,5,7,1,2,2
Matheus,Fernandes,9,7,10,1,2,0
Rafaela,Costa,5,4,6,3,2,1
Vitória,Barbosa,10,9,9,0,0,0
